"SECTOR_OID","SECTOR","BUSINSS_ACT_ID","ACTIVITY_TITLE"
"1000049","Architectural services","1064","Carry out construction or building work"
"1000067","Soft drink manufacturing","273","Carry out processes causing emissions to air"
"1000067","Soft drink manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000067","Soft drink manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000068","Tobacco products manufacturing","273","Carry out processes causing emissions to air"
"1000078","Paper and paper stationery manufacturing","70","Operate a goods vehicle"
"1000081","Printing","1061","Process, store or dispose of dangerous or harmful substances"
"1000081","Printing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1087768601","Members clubs","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1080395669","Retail trade in stalls and markets","1126","Operate a market for livestock"
"1000146","Metal and metal ores wholesale agents","194","Operate a large industrial site"
"1000146","Metal and metal ores wholesale agents","1061","Process, store or dispose of dangerous or harmful substances"
"1000148","Petroleum and fuel products wholesale","1054","Operate a public weighbridge"
"1000148","Petroleum and fuel products wholesale","1045","Produce, store or dispose of ozone-depleting substances"
"1000148","Petroleum and fuel products wholesale","1002","Use CCTV systems"
"1000154","Seafood wholesale","1027","Certify refrigerated trucks or lorries"
"1000159","Alcoholic drink wholesale","1002","Use CCTV systems"
"1000159","Alcoholic drink wholesale","1001","Process personal information about any individuals including customers, employees etc"
"1000217","Camping and outdoor equipment wholesale","1003","Offer credit to your customers"
"1000319","Securities broking","1003","Offer credit to your customers"
"1000321","Independent financial advice","1025","Operate a business subject to money laundering requirements"
"1000326","Barrister services","1053","Offer professional legal services"
"1000371","Computer training","31","Exhibit films, videos or DVDs"
"1000405","Newspaper publishing","188","Make copies of extracts from books, magazines or journals for business use"
"1000405","Newspaper publishing","1002","Use CCTV systems"
"1000421","Take-away food stalls","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000464","Slimming centres","1000","Play background music in your premises"
"1000491","Amusement arcade operation","1136","Provide gambling facilities (other than gaming machines)"
"1000492","Theme park operation","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000492","Theme park operation","242","Use a premises for a theatrical performance"
"1000244","Building materials and supplies retail","70","Operate a goods vehicle"
"1000245","Garden equipment and supplies retail","1132","Market, package, clean treat or process seed"
"1000245","Garden equipment and supplies retail","239","Open a large shop on Sundays"
"1000245","Garden equipment and supplies retail","1002","Use CCTV systems"
"1000246","Catering equipment hire","81","Lease or hire out goods"
"1000249","Electric appliance repair","1001","Process personal information about any individuals including customers, employees etc"
"1000250","Audio-visual equipment retail","337","Employ young people aged 13 - 16"
"1000251","Audio-visual equipment repair","239","Open a large shop on Sundays"
"1000253","Computers and electronic office equipment retail","1000","Play background music in your premises"
"1000254","Computers and electronic office equipment repair","1072","Use the Olympic Brand"
"1000255","Telecommunication equipment retail","337","Employ young people aged 13 - 16"
"1000255","Telecommunication equipment retail","239","Open a large shop on Sundays"
"1000255","Telecommunication equipment retail","1002","Use CCTV systems"
"1000258","Used motor vehicle retail","1001","Process personal information about any individuals including customers, employees etc"
"1000259","Motor vehicle parts and accessories retail","262","Supply number plates"
"1000259","Motor vehicle parts and accessories retail","241","Put an advertising board on the pavement or verge"
"1000260","Motor vehicle maintenance and repair","40","Discharge trade effluent"
"1000264","Chemist supplies retail","241","Put an advertising board on the pavement or verge"
"1000269","Books, newspapers and magazines retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000270","Stationery retail","337","Employ young people aged 13 - 16"
"1000271","Greeting card, gift and party goods retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000272","Flower retail","1151","Trade in plants, plant material, soil or other growing medium"
"1000274","Jewellery, watches and clocks retail and repair","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000275","Engraving services","239","Open a large shop on Sundays"
"1000275","Engraving services","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000278","Sports equipment retail","70","Operate a goods vehicle"
"1000278","Sports equipment retail","1002","Use CCTV systems"
"1000280","Guns and ammunition retail","1131","Deal in knives and swords"
"1000280","Guns and ammunition retail","48","Manufacture, transport or store explosives"
"1000280","Guns and ammunition retail","1003","Offer credit to your customers"
"1000280","Guns and ammunition retail","1001","Process personal information about any individuals including customers, employees etc"
"1000283","Video, DVD and computer game rental","239","Open a large shop on Sundays"
"1000283","Video, DVD and computer game rental","1001","Process personal information about any individuals including customers, employees etc"
"1000284","Camping and outdoor equipment retail","1131","Deal in knives and swords"
"1000286","Party supplies hire","81","Lease or hire out goods"
"1000288","Art and craft retail","310","Export antiques, works of art or other cultural goods"
"1000288","Art and craft retail","1000","Play background music in your premises"
"1000290","Antiques retail","198","Manufacture, sell, repair or test shotguns, firearms or ammunition"
"1000290","Antiques retail","1003","Offer credit to your customers"
"1000290","Antiques retail","1001","Process personal information about any individuals including customers, employees etc"
"1000291","Antiques repair and restoration","241","Put an advertising board on the pavement or verge"
"1000292","Second-hand goods retail","239","Open a large shop on Sundays"
"1000292","Second-hand goods retail","1002","Use CCTV systems"
"1000300","Tour operator services","1074","Work in or provide services to the air industry"
"1000300","Tour operator services","1020","Provide tourist services - e.g. accommodation"
"1000315","Specialist credit provision","1003","Offer credit to your customers"
"1000317","Life insurance broking","38","Provide debt adjustment or debt counselling services"
"1000318","Non-life insurance broking","266","Make copies of newspaper cuttings for business use"
"1000318","Non-life insurance broking","38","Provide debt adjustment or debt counselling services"
"1000318","Non-life insurance broking","1001","Process personal information about any individuals including customers, employees etc"
"1000322","Currency exchange","1001","Process personal information about any individuals including customers, employees etc"
"1000323","Payroll provision","1002","Use CCTV systems"
"1000327","Solicitor services","1119","Handle compensation claims"
"1000327","Solicitor services","241","Put an advertising board on the pavement or verge"
"1000327","Solicitor services","1002","Use CCTV systems"
"1000328","Patent and copyright agent services","1002","Use CCTV systems"
"1000334","General management consultancy","1002","Use CCTV systems"
"1000338","Estate agency services","1091","Distribute free printed material"
"1000339","Chartered surveying","1049","Certify design or construction projects"
"1000340","Property management services","1024","Operate as an estate agent"
"1000342","Cleaning services","1091","Distribute free printed material"
"1000342","Cleaning services","337","Employ young people aged 13 - 16"
"1000342","Cleaning services","40","Discharge trade effluent"
"1000342","Cleaning services","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000343","Property development","1165","Manage common parts of land owned by others"
"1000343","Property development","1091","Distribute free printed material"
"1000343","Property development","324","Let a house for multiple occupation"
"1000343","Property development","126","Impound water (by using a dam or a weir etc)"
"1000343","Property development","1002","Use CCTV systems"
"1000346","Advertising agencies","1001","Process personal information about any individuals including customers, employees etc"
"1000347","Public relations services","1001","Process personal information about any individuals including customers, employees etc"
"1000348","Direct marketing services","1001","Process personal information about any individuals including customers, employees etc"
"1000349","Market research services","1091","Distribute free printed material"
"1000352","Recruitment agencies and personnel supply","175","Run a nursing agency"
"1000354","Translation services","1001","Process personal information about any individuals including customers, employees etc"
"1000355","Vending machine supply and servicing","81","Lease or hire out goods"
"1000357","Security services","339","Work as a door supervisor"
"1000357","Security services","197","Possess a shotgun or other firearm"
"1000357","Security services","1100","Manage or sell security services"
"1000357","Security services","1056","Carry out criminal record checks"
"1000358","Auctioneering services","1002","Use CCTV systems"
"1000359","Event organisation and management","1124","Organise firework displays"
"1000359","Event organisation and management","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000359","Event organisation and management","1001","Process personal information about any individuals including customers, employees etc"
"1000360","Scientific research and development","377","Provide human fertility treatment or carry out embryo research"
"1000360","Scientific research and development","263","Carry out any work involving asbestos"
"1000360","Scientific research and development","98","Launch satellites or other objects into space"
"1000360","Scientific research and development","1061","Process, store or dispose of dangerous or harmful substances"
"1000362","Waste collection","263","Carry out any work involving asbestos"
"1000362","Waste collection","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000362","Waste collection","70","Operate a goods vehicle"
"1000362","Waste collection","1045","Produce, store or dispose of ozone-depleting substances"
"1000363","Waste treatment and disposal","273","Carry out processes causing emissions to air"
"1000363","Waste treatment and disposal","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000363","Waste treatment and disposal","1054","Operate a public weighbridge"
"1000363","Waste treatment and disposal","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000364","Non-metal waste and scrap recycling","263","Carry out any work involving asbestos"
"1000364","Non-metal waste and scrap recycling","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000364","Non-metal waste and scrap recycling","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000365","Metal waste and scrap recycling","1061","Process, store or dispose of dangerous or harmful substances"
"1000366","Environmental consultancy","398","Kill or take wild birds or animals - e.g. for scientific or conservation reasons, etc."
"1000369","Software development and publishing","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000370","Computer installation, maintenance and support services","1001","Process personal information about any individuals including customers, employees etc"
"1000372","IT consultancy","1072","Use the Olympic Brand"
"1000374","Internet service provision","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000376","Web design and development","1072","Use the Olympic Brand"
"1000377","Internet publishing and broadcasting","266","Make copies of newspaper cuttings for business use"
"1000377","Internet publishing and broadcasting","99","Use music for broadcast or download, including TV or Radio programs, online, in toys, ringtones, computer games, etc. "
"1000380","Telephone service provision","81","Lease or hire out goods"
"1000380","Telephone service provision","1001","Process personal information about any individuals including customers, employees etc"
"1000381","Broadband telecommunications service provision","1072","Use the Olympic Brand"
"1000382","Mobile telecommunications service provision","1171","Use copyright music online or on mobile technology"
"1000382","Mobile telecommunications service provision","1072","Use the Olympic Brand"
"1000383","Telecommunications resellers","1000","Play background music in your premises"
"1000384","Telecommunications consultancy","188","Make copies of extracts from books, magazines or journals for business use"
"1000393","Film production","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000393","Film production","188","Make copies of extracts from books, magazines or journals for business use"
"1000393","Film production","99","Use music for broadcast or download, including TV or Radio programs, online, in toys, ringtones, computer games, etc. "
"1000394","Film distribution","1081","Store, process, use or dispose of celluloid film"
"1000394","Film distribution","233","Run a sex establishment"
"1000397","Music recording studio services","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000397","Music recording studio services","188","Make copies of extracts from books, magazines or journals for business use"
"1000399","Music publishing","70","Operate a goods vehicle"
"1000401","Television broadcasting","1113","Using electromagnetic energy for reception"
"1000401","Television broadcasting","242","Use a premises for a theatrical performance"
"1000402","Radio broadcasting","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000402","Radio broadcasting","1171","Use copyright music online or on mobile technology"
"1000410","Hotels","337","Employ young people aged 13 - 16"
"1000410","Hotels","241","Put an advertising board on the pavement or verge"
"1000410","Hotels","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000411","Hostels","1023","Offer or operate social housing"
"1000411","Hostels","1001","Process personal information about any individuals including customers, employees etc"
"1000412","Camping sites","1142","Work affecting a river or watercourse"
"1000412","Camping sites","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000412","Camping sites","382","Offer adventure activities to young people under the age of 18"
"1000412","Camping sites","126","Impound water (by using a dam or a weir etc)"
"1000413","Self-catering accommodation","241","Put an advertising board on the pavement or verge"
"1000416","Public houses","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000416","Public houses","241","Put an advertising board on the pavement or verge"
"1000416","Public houses","8","Supply or operate gaming machines"
"1000416","Public houses","1058","Hold an ad hoc event"
"1000418","Licensed restaurants","1002","Use CCTV systems"
"1000419","Unlicensed restaurants","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000420","Take-away food shops","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000420","Take-away food shops","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000003","Arable farming","1151","Trade in plants, plant material, soil or other growing medium"
"1000003","Arable farming","1140","Dispense petrol"
"1000003","Arable farming","1132","Market, package, clean treat or process seed"
"1000003","Arable farming","1026","Burn heather and grass"
"1000004","Arable farming support services","1135","Use plants for technological progress"
"1000004","Arable farming support services","120","Shoe horses and similar animals"
"1000005","Cattle farming","1126","Operate a market for livestock"
"1000005","Cattle farming","283","Run a dairy production holding"
"1000005","Cattle farming","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000005","Cattle farming","1054","Operate a public weighbridge"
"1000005","Cattle farming","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000006","Sheep and goat farming","1110","Use premises as a cinema"
"1000006","Sheep and goat farming","197","Possess a shotgun or other firearm"
"1000006","Sheep and goat farming","5","Remove water from a watercourse or an underground water reserve"
"1000006","Sheep and goat farming","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000006","Sheep and goat farming","1026","Burn heather and grass"
"1000008","Poultry farming","1142","Work affecting a river or watercourse"
"1000008","Poultry farming","340","Carry out landspreading of animal by-products for agricultural benefit"
"1000008","Poultry farming","124","Keep poultry"
"1000008","Poultry farming","1061","Process, store or dispose of dangerous or harmful substances"
"1000008","Poultry farming","1029","Operate an egg packing centre"
"1000008","Poultry farming","1026","Burn heather and grass"
"1000010","Other animal farming","14","Move or transport animals and livestock"
"1000011","Animal farming support services","1085","Operate an assembly centre for cattle, pigs, sheep or goats"
"1000011","Animal farming support services","14","Move or transport animals and livestock"
"1000013","Forestry","1151","Trade in plants, plant material, soil or other growing medium"
"1000013","Forestry","1135","Use plants for technological progress"
"1000013","Forestry","1105","Collect, sell or distribute forestry material"
"1000013","Forestry","251","Fell trees"
"1000014","Logging","70","Operate a goods vehicle"
"1000016","Fishing","1149","Keep or release live fish"
"1000017","Fish farming","1146","Appoint private water bailiff"
"1000017","Fish farming","398","Kill or take wild birds or animals - e.g. for scientific or conservation reasons, etc."
"1000017","Fish farming","84","Import fish or shellfish"
"1000021","Mining and quarrying","1159","Carry out dredging activities"
"1000021","Mining and quarrying","1158","Deposit and/or use explosives"
"1000021","Mining and quarrying","105","Carry out coal mining or exploration"
"1000022","Oil and gas extraction","1160","Incinerate substances or objects on board a vessel or offshore facility"
"1000022","Oil and gas extraction","126","Impound water (by using a dam or a weir etc)"
"1000022","Oil and gas extraction","31","Exhibit films, videos or DVDs"
"1000022","Oil and gas extraction","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000022","Oil and gas extraction","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000024","Electricity supply","1161","Remove objects or substances from the seabed"
"1000024","Electricity supply","1052","Carry out diving activities"
"1000025","Gas supply","240","Put tables or chairs on the pavement"
"1000026","Water supply","1153","Remove material from a river bed"
"1000026","Water supply","1001","Process personal information about any individuals including customers, employees etc"
"1000029","Residential building construction","40","Discharge trade effluent"
"1000030","Commercial building construction","1167","Connect marina or mooring to an inland waterway"
"1000030","Commercial building construction","1159","Carry out dredging activities"
"1000030","Commercial building construction","1128","Inspect conventional tower cranes"
"1000030","Commercial building construction","1072","Use the Olympic Brand"
"1000030","Commercial building construction","264","Install or work on gas appliances or fittings"
"1000030","Commercial building construction","157","Carry out engineering, construction or cabling works at sea or on the seashore"
"1000031","Civil engineering","1153","Remove material from a river bed"
"1000031","Civil engineering","398","Kill or take wild birds or animals - e.g. for scientific or conservation reasons, etc."
"1000031","Civil engineering","1054","Operate a public weighbridge"
"1000031","Civil engineering","1019","Operate as a building inspector"
"1000031","Civil engineering","1002","Use CCTV systems"
"1000033","Building site preparation","1142","Work affecting a river or watercourse"
"1000033","Building site preparation","1128","Inspect conventional tower cranes"
"1000033","Building site preparation","157","Carry out engineering, construction or cabling works at sea or on the seashore"
"1000033","Building site preparation","126","Impound water (by using a dam or a weir etc)"
"1000033","Building site preparation","1064","Carry out construction or building work"
"1000034","Brick laying","70","Operate a goods vehicle"
"1000034","Brick laying","1064","Carry out construction or building work"
"1000035","Roofing","1001","Process personal information about any individuals including customers, employees etc"
"1000036","Electrical installation and repair","257","Transport, store, process, recycle, export or dispose of waste material"
"1000037","Insulation installation","274","Place builders skips on a public road"
"1000045","Building exterior cleaning","40","Discharge trade effluent"
"1000046","Other specialised construction activities","1142","Work affecting a river or watercourse"
"1000047","Construction equipment hire with operator","228","Erect scaffolding or hoardings"
"1000051","Urban planning services","1001","Process personal information about any individuals including customers, employees etc"
"1000053","Construction consultancy","1072","Use the Olympic Brand"
"1000056","Animal food manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000056","Animal food manufacturing","12","Store, process, treat, use or dispose of animal by-products"
"1000056","Animal food manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000057","Grain and vegetable oil processing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000057","Grain and vegetable oil processing","194","Operate a large industrial site"
"1000057","Grain and vegetable oil processing","1061","Process, store or dispose of dangerous or harmful substances"
"1000058","Fruit and vegetable processing","40","Discharge trade effluent"
"1000058","Fruit and vegetable processing","1002","Use CCTV systems"
"1000059","Dairy product manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000060","Meat product manufacturing","70","Operate a goods vehicle"
"1000060","Meat product manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000060","Meat product manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000061","Seafood processing","1149","Keep or release live fish"
"1000061","Seafood processing","84","Import fish or shellfish"
"1000062","Bakery products manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000062","Bakery products manufacturing","194","Operate a large industrial site"
"1000064","Other food manufacturing","194","Operate a large industrial site"
"1000064","Other food manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000065","Health food and supplements manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000066","Alcoholic drink manufacturing","40","Discharge trade effluent"
"1000066","Alcoholic drink manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000070","Adult clothing and accessories manufacturing","1002","Use CCTV systems"
"1000071","Children's clothing and baby goods manufacturing","273","Carry out processes causing emissions to air"
"1000071","Children's clothing and baby goods manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000072","Footwear manufacturing","194","Operate a large industrial site"
"1000072","Footwear manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000073","Leather products manufacturing","1072","Use the Olympic Brand"
"1000073","Leather products manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000073","Leather products manufacturing","1002","Use CCTV systems"
"1000075","Textiles manufacturing","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000075","Textiles manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000076","Furniture manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000079","Paper container and packaging manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000082","Printing support activities","40","Discharge trade effluent"
"1000085","Agrochemicals manufacturing","70","Operate a goods vehicle"
"1000085","Agrochemicals manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000085","Agrochemicals manufacturing","1060","Advertise, sell, supply, store or use pesticides "
"1000087","Rubber products manufacturing","1002","Use CCTV systems"
"1000088","Plastic products manufacturing","70","Operate a goods vehicle"
"1000088","Plastic products manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000089","Pharmaceuticals and medicine manufacturing","1114","Selling drug precursors"
"1000089","Pharmaceuticals and medicine manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000089","Pharmaceuticals and medicine manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000090","Biopharmaceuticals manufacturing","214","Keep or use radioactive material - eg for experiments, tests or measurements"
"1000090","Biopharmaceuticals manufacturing","108","Conduct clinical trials"
"1000090","Biopharmaceuticals manufacturing","70","Operate a goods vehicle"
"1000090","Biopharmaceuticals manufacturing","1002","Use CCTV systems"
"1000091","Beauty and toilet products manufacturing","273","Carry out processes causing emissions to air"
"1000091","Beauty and toilet products manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000092","Cleaning compound manufacturing","126","Impound water (by using a dam or a weir etc)"
"1000094","Clay and ceramic building materials manufacturing","40","Discharge trade effluent"
"1000095","Glass building products manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000096","Concrete and cement products manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000096","Concrete and cement products manufacturing","1054","Operate a public weighbridge"
"1000096","Concrete and cement products manufacturing","1002","Use CCTV systems"
"1000097","Stone and slate products manufacturing","273","Carry out processes causing emissions to air"
"1000097","Stone and slate products manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000097","Stone and slate products manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000097","Stone and slate products manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000098","Builders joinery manufacturing","40","Discharge trade effluent"
"1000102","Metal product manufacturing","70","Operate a goods vehicle"
"1000102","Metal product manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000102","Metal product manufacturing","1054","Operate a public weighbridge"
"1000104","Engine and turbine manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000104","Engine and turbine manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000104","Engine and turbine manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000105","Agricultural machinery manufacturing","194","Operate a large industrial site"
"1000105","Agricultural machinery manufacturing","70","Operate a goods vehicle"
"1000105","Agricultural machinery manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000105","Agricultural machinery manufacturing","1002","Use CCTV systems"
"1000106","Power tool manufacturing","1002","Use CCTV systems"
"1000108","Guns and ammunition manufacturing","273","Carry out processes causing emissions to air"
"1000108","Guns and ammunition manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000109","Industrial machinery manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000110","Other machinery manufacturing","273","Carry out processes causing emissions to air"
"1000110","Other machinery manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000110","Other machinery manufacturing","1002","Use CCTV systems"
"1000112","Motor vehicle manufacturing","388","Manufacture vehicles for the UK market"
"1000112","Motor vehicle manufacturing","1002","Use CCTV systems"
"1000114","Motor vehicle accessories manufacturing","273","Carry out processes causing emissions to air"
"1000114","Motor vehicle accessories manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000114","Motor vehicle accessories manufacturing","70","Operate a goods vehicle"
